Date_As_Of,Rank_As_Of,YTD_Rank,Last_Week_Rank,Title,Type,Netflix_Exclusive,Release_Date,Days_in_top_10,Viewership_Score
2020-04-01,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,9,90
2020-04-01,2,2,-,Ozark,TV Show,Yes,21-Jul-17,5,45
2020-04-01,3,3,2,All American,TV Show,,28-Mar-19,9,76
2020-04-01,4,4,-,Blood Father,Movie,,26-Mar-20,5,30
2020-04-01,5,5,4,The Platform,Movie,Yes,20-Mar-20,9,55
2020-04-01,6,6,-,Car Masters: Rust to Riches,TV Show,Yes,14-Sep-18,4,14
2020-04-01,7,10,-,Unorthodox,TV Show,Yes,26-Mar-20,2,5
2020-04-01,8,7,5,Love is Blind,TV Show,Yes,13-Feb-20,9,40
2020-04-01,9,8,-,Badland,Movie,,26-Mar-20,4,11
2020-04-01,10,9,-,Uncorked,Movie,Yes,27-Mar-20,4,15
2020-04-02,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,10,100
2020-04-02,2,2,-,Ozark,TV Show,Yes,21-Jul-17,6,54
2020-04-02,3,3,2,All American,TV Show,,28-Mar-19,10,84
2020-04-02,4,-,-,Nailed It!,TV Show,Yes,09-Mar-18,1,7
2020-04-02,5,-,-,How to Fix a Drug Scandal,TV Show,Yes,01-Apr-20,1,6
2020-04-02,6,4,-,Blood Father,Movie,,26-Mar-20,6,35
2020-04-02,7,-,-,The Roommate,Movie,,01-Apr-20,1,4
2020-04-02,8,7,-,Unorthodox,TV Show,Yes,26-Mar-20,3,8
2020-04-02,9,5,4,The Platform,Movie,Yes,20-Mar-20,10,57
2020-04-02,10,6,-,Car Masters: Rust to Riches,TV Show,Yes,14-Sep-18,5,15
2020-04-03,1,1,1,"Tiger King: Murder, Mayhem …",TV Show,Yes,20-Mar-20,11,110
2020-04-03,2,2,-,Ozark,TV Show,Yes,21-Jul-17,7,63
2020-04-03,3,3,2,All American,TV Show,,28-Mar-19,11,92
2020-04-03,4,5,-,How to Fix a Drug Scandal,TV Show,Yes,01-Apr-20,2,13
2020-04-03,5,4,-,Nailed It!,TV Show,Yes,09-Mar-18,2,13
2020-04-03,6,7,-,The Roommate,Movie,,01-Apr-20,2,9
