department,person_id
 Directing,1
 Production,1
 Writing,1
 Editing,1
 Crew,1
 Directing,2
 Production,3
 Crew,4
 Writing,4
 Writing,7
 Visual Effects,7
 Directing,7
 Production,7
 Crew,7
 Editing,8
 Directing,8
 Writing,8
 Crew,8
 Production,8
 Production,9
 Writing,10
 Directing,10
 Crew,10
 Writing,11
 Sound,11
 Crew,11
 Directing,13
 Writing,13
 Writing,14
 Directing,17
 Writing,22
 Production,24
 Directing,24
 Writing,24
 Writing,26
 Writing,27
 Production,28
 Production,29
 Writing,29
 Production,30
 Crew,30
 Camera,30
 Directing,31
 Writing,31
 Production,31
 Production,32
 Directing,33
 Production,33
 Production,35
 Directing,35
 Camera,36
 Crew,36
 Sound,37
 Crew,37
 Editing,38
 Directing,39
 Production,39
 Directing,40
 Production,40
 Writing,40
 Art,40
 Editing,40
 Directing,42
 Writing,42
 Camera,42
 Production,42
 Directing,43
 Production,43
 Writing,44
 Writing,45
 Sound,47
 Directing,59
 Writing,59
 Production,59
 Production,60
 Writing,61
 Production,61
 Production,62
 Directing,64
 Writing,64
 Production,64
 Production,66
 Writing,66
 Production,67
 Writing,67
 Directing,67
 Directing,68
 Writing,68
 Editing,68
 Production,68
 Sound,69
 Camera,70
 Directing,70
 Production,70
 Writing,70
 Camera,71
 Directing,85
 Writing,85
 Production,85
 Directing,86
 Production,86
 Writing,86
 Camera,86
 Editing,86
 Directing,90
 Writing,90
 Production,90
 Production,93
 Art,93
 Sound,95
 Production,96
 Writing,97
 Writing,98
 Directing,98
 Production,98
 Production,103
 Directing,103
 Camera,104
 Editing,105
 Sound,106
 Writing,108
 Directing,108
 Production,108
 Camera,108
 Editing,108
 Production,109
 Production,110
 Production,112
 Production,113
 Production,114
 Sound,117
 Production,118
 Camera,120
 Crew,122
 Sound,122
 Production,122
 Production,123
 Writing,126
 Production,126
 Directing,126
 Writing,128
 Production,128
 Writing,129
 Production,131
 Production,133
 Production,134
 Writing,134
 Production,135
 Production,136
 Directing,138
 Production,138
 Writing,138
 Crew,138
 Camera,138
 Editing,138
 Writing,139
 Writing,142
 Writing,148
 Camera,149
 Crew,149
 Sound,150
 Crew,150
 Directing,150
 Writing,150
 Camera,151
 Sound,152
 Sound,153
 Crew,153
 Editing,154
 Sound,154
 Writing,154
 Directing,154
 Production,155
 Editing,156
 Writing,157
 Sound,159
 Directing,160
 Writing,160
 Production,161
 Production,162
 Writing,162
 Editing,163
 Camera,171
 Directing,172
 Editing,172
 Production,172
 Writing,172
 Production,173
 Camera,179
 Editing,182
 Directing,182
 Directing,183
 Visual Effects,183
 Writing,183
 Directing,185
 Writing,185
 Sound,186
 Visual Effects,187
 Directing,187
 Directing,190
 Production,190
 Sound,190
 Crew,190
 Production,192
 Directing,192
 Production,193
 Production,194
 Sound,195
 Directing,197
 Directing,201
 Writing,201
 Production,201
 Production,202
 Writing,202
 Directing,202
 Writing,206
 Production,206
 Writing,209
 Writing,212
 Directing,212
 Production,212
 Production,213
 Writing,222
 Directing,223
 Production,223
 Editing,223
 Writing,223
 Crew,223
 Directing,224
 Production,224
 Writing,224
 Crew,224
 Editing,224
 Directing,228
 Production,228
 Writing,228
 Writing,239
 Directing,240
 Writing,240
 Production,240
 Camera,240
 Crew,240
 Editing,240
 Sound,240
 Writing,241
 Camera,243
 Crew,243
 Editing,244
 Sound,254
 Crew,254
 Sound,255
 Editing,255
 Production,257
 Production,258
 Directing,258
 Writing,273
 Production,273
 Directing,273
 Camera,275
 Crew,275
 Editing,276
 Editing,277
 Sound,278
 Production,278
 Sound,279
 Directing,280
 Writing,280
 Art,280
 Visual Effects,280
 Production,280
 Writing,281
 Production,282
 Production,283
 Sound,283
 Production,284
 Production,285
 Production,286
 Production,287
 Camera,293
 Editing,294
 Sound,295
 Sound,296
 Editing,296
 Writing,296
 Sound,297
 Production,298
 Writing,305
 Writing,306
 Camera,307
 Crew,307
 Directing,309
 Writing,309
 Production,309
 Art,309
 Editing,310
 Production,311
 Sound,312
 Camera,313
 Directing,313
 Production,321
 Production,322
 Directing,323
 Writing,323
 Production,323
 Directing,324
 Writing,324
 Production,326
 Directing,327
 Production,329
 Sound,329
 Editing,330
 Editing,331
 Production,335
 Production,339
 Crew,339
 Writing,339
 Production,340
 Production,347
 Directing,347
 Writing,348
 Crew,348
 Production,348
 Writing,355
 Crew,355
 Camera,356
 Directing,356
 Crew,356
 Directing,357
 Writing,357
 Production,357
 Writing,366
 Directing,366
 Production,366
 Production,368
 Art,369
 Art,370
 Camera,371
 Writing,372
 Directing,372
 Sound,373
 Writing,374
 Sound,375
 Editing,375
 Production,376
 Production,377
 Sound,379
 Production,380
 Directing,380
 Production,382
 Directing,382
