Job_Name,person_id,movie_id
Director ,1,11
Executive Producer ,1,11
Writer ,1,11
Screenplay ,7,12
Director ,7,12
Original Story ,7,12
Supervising Film Editor ,8,12
Co-Director ,8,12
Producer ,9,12
Screenplay ,10,12
Screenplay ,11,12
Director ,24,13
Novel ,26,13
Screenplay ,27,13
Producer ,28,13
Producer ,29,13
Producer ,30,13
Director of Photography ,36,13
Original Music Composer ,37,13
Original Music Composer ,37,6
Editor ,38,13
Director ,39,14
Director ,40,15
Producer ,40,15
Screenplay ,40,15
Director ,42,16
Writer ,42,16
Camera Operator ,42,16
Original Music Composer ,47,16
Screenplay ,59,18
Director ,59,18
Story ,59,18
Producer ,60,18
Screenplay ,61,18
Director ,138,5
Executive Producer ,138,5
Writer ,138,5
Original Music Composer ,153,14
Original Music Composer ,153,12
Editor ,156,5
Casting ,390,11
Original Music Composer ,491,11
Casting ,494,14
Casting ,495,14
Production Design ,496,13
Costume Design ,498,13
Set Decoration ,555,13
Art Direction ,669,11
Set Decoration ,796,6
Original Music Composer ,996,18
Director of Photography ,997,18
Editor ,998,18
Production Design ,1000,18
Production Controller ,1016,16
Sound Designer ,1029,16
Original Music Composer ,1045,15
Casting ,1113,18
Executive Producer ,1174,16
Casting ,1221,11
Director of Photography ,1632,16
Assistant Director ,1634,16
Editor ,1744,15
Director ,2042,6
Director of Photography ,2044,6
Author ,2152,14
Screenplay ,2152,14
Co-Producer ,2152,14
Sound Designer ,2216,12
Supervising Sound Editor ,2216,12
Sound Re-Recording Mixer ,2216,12
Thanks ,2227,14
Casting ,2242,13
Director ,2294,5
Writer ,2294,5
Editor ,2294,5
Producer ,2545,5
Editor ,2551,11
Casting ,2952,16
Director ,3110,5
Writer ,3110,5
Director ,3111,5
Executive Producer ,3111,5
Writer ,3111,5
Director of Photography ,3113,5
Director of Photography ,3114,5
Director of Photography ,3115,5
Original Music Composer ,3116,5
Production Design ,3117,5
Casting ,3118,5
Sound Designer ,3119,5
Editor ,3121,5
Casting ,3176,11
Supervising Sound Editor ,3193,14
Special Effects ,3252,15
Camera Operator ,3924,18
Cinematography ,3925,16
Supervising Sound Editor ,3992,13
Makeup Department Head ,4352,15
Set Decoration ,5058,11
Art Direction ,5059,11
Costume Design ,5061,11
Dialogue Editor ,6048,14
Producer ,6146,16
Co-Executive Producer ,6151,16
Editor ,6156,16
Sound Designer ,6157,16
Choreographer ,6750,16
Producer ,6759,16
Producer ,6760,16
Producer ,6761,16
Producer ,6762,16
Producer ,6763,16
Producer ,6764,16
Producer ,6765,16
Producer ,6766,16
Editor ,6794,16
Production Design ,6795,16
Art Direction ,6796,16
Costume Design ,6797,16
Music Supervisor ,6940,5
Set Decoration ,7338,15
Editor ,7414,14
Music Editor ,7538,14
Music Editor ,7538,12
Executive Producer ,7719,6
Costume Design ,7719,6
Animation ,7727,11
Director of Photography ,7753,11
Executive Producer ,7879,12
Production Design ,7883,12
Visual Development ,7891,12
In Memory Of ,7892,12
Casting ,7903,12
Production Supervisor ,7912,12
Story ,7924,12
Visual Development ,7925,12
Art Direction ,7927,12
Animation ,7929,12
CG Painter ,7943,12
CG Painter ,7944,12
CG Painter ,7946,12
CG Painter ,7948,12
Art Direction ,7949,12
Art Direction ,7952,12
Sculptor ,7960,12
Visual Development ,7963,12
Visual Development ,7967,12
CG Painter ,7972,12
Director of Photography ,7988,12
CG Supervisor ,8007,12
Animation Director ,8012,12
Animation ,8013,12
Animation ,8042,12
Fix Animator ,8058,12
Animation Manager ,8059,12
Editorial Production Assistant ,8062,12
Second Film Editor ,8066,12
First Assistant Editor ,8071,12
Sound Effects Editor ,8078,12
CG Supervisor ,8084,12
CG Supervisor ,8098,12
CG Supervisor ,8115,12
Camera Supervisor ,8135,12
Post Production Supervisor ,8153,12
Projection ,8155,12
Supervising Sound Editor ,8158,12
Sound Effects Editor ,8159,12
Foley ,8160,13
Sound Design Assistant ,8165,12
Producer ,8215,14
Producer ,8216,14
Director of Photography ,8217,14
Editor ,8219,14
Production Design ,8220,14
Art Direction ,8221,14
Costume Design ,8222,14
Leadman ,8274,13
Production Coordinator ,8288,13
Co-Producer ,8374,18
Post Production Supervisor ,8375,18
Associate Producer ,8375,18
Sound Designer ,8376,18
Art Direction ,8378,18
Visual Effects Art Director ,8378,18
Art Direction ,8379,18
Visual Effects Art Director ,8379,18
Art Direction ,8380,18
Art Direction ,8381,18
Art Direction ,8382,18
Set Decoration ,8383,18
Set Decoration ,8384,18
Costume Design ,8385,18
Production Manager ,8386,18
Unit Production Manager ,8387,18
Production Manager ,8389,18
Production Manager ,8390,18
Second Unit ,8392,18
Second Unit Director of Photography ,8392,18
Editor ,8425,11
Director of Photography ,8504,15
Post Production Supervisor ,8532,14
Art Direction ,8679,13
Assistant Art Director ,8794,13
Set Decoration ,9042,5
Foley ,9441,18
Utility Stunts ,9558,13
Production Design ,9990,6
Costume Design ,10153,15
Sound Re-Recording Mixer ,10155,15
Editor ,10766,11
Producer ,11034,15
Executive Producer ,11035,15
Art Direction ,11036,15
Co-Executive Producer ,11053,16
Second Unit Cinematographer ,11113,13
Orchestrator ,11166,13
Creature Design ,11173,18
Assistant Art Director ,11225,18
Makeup Artist ,11298,18
Stunts ,11301,18
Assistant Art Director ,11412,13
Art Direction ,11423,5
Writer ,11783,15
Editorial Manager ,11783,15
Producer ,12401,11
Director of Photography ,12912,12
Editor ,12914,12
ADR & Dubbing ,13168,18
First Assistant Director ,13930,13
Art Direction ,14040,6
Stunt Coordinator ,14049,13
Second Assistant Director ,14511,15
Co-Producer ,15004,13
Unit Production Manager ,15004,13
Stunts ,15318,13
Sound Effects Editor ,15331,14
Sound Effects Editor ,15893,12
Sound Re-Recording Mixer ,16177,18
Special Effects Coordinator ,16498,14
Executive In Charge Of Production ,17630,13
Still Photographer ,18095,13
Stunt Coordinator ,18775,18
Set Decoration ,19309,14
Finance ,19353,16
Assistant Editor ,19457,15
Producer ,19801,11
First Assistant Editor ,20296,18
Casting Associate ,20540,5
Executive Producer ,20784,6
Story ,21198,12
Sound Engineer ,22320,18
Property Master ,22486,13
Sculptor ,23456,18
Assistant Editor ,23781,13
Visual Effects Art Director ,23782,13
Art Direction ,23972,13
Makeup Artist ,26986,13
Screenplay ,30012,15
Executive In Charge Of Production ,30174,15
Story ,32535,12
Stunts ,34101,15
